"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"UBE2I";7791;13455;8749;9122;6648;19073;5852;11346;6723;4017;9798;8948;11407;7959;5789;10176;10797;9415;4515;7247
"UBE2J1";8251;10233;14957;9090;4355;4597;3183;7118;4053;3960;5215;5364;4872;7144;9245;9907;5634;7089;3529;8216
"UBE2J2";7126;4072;4058;7141;2682;4100;3279;4011;2377;1412;2289;2540;2713;2581;4441;3865;3287;3867;1978;2766
"UBE2K";6856;12194;9482;9775;7057;12904;8708;11227;1817;3181;10745;5867;12760;6573;8348;7785;7879;6825;3151;4945
"UBE2L3";9987;7859;8679;8013;5344;4509;10684;10091;3396;2442;10197;6129;12056;5890;10795;7236;4408;8239;3831;5375
"UBE2L6";13416;3918;27909;19643;5925;5944;27689;20713;6324;3066;4953;8289;5468;7111;5142;6282;5463;9478;3974;5934
"UBE2M";6712;3038;4159;3421;2673;3751;7309;2878;2206;1830;3048;3122;3258;2400;3291;3548;3179;3237;2082;2624
"UBE2MP1";20;9;12;4;13;16;30;6;9;11;10;8;12;8;8;10;8;8;5;6
"UBE2N";7573;6458;11001;12284;4897;7436;11812;5588;3882;2396;45661;7799;49589;5061;7246;7290;5310;5655;2707;4513
"UBE2NL";1;0;1;0;0;0;1;1;0;0;1;2;2;0;0;0;0;0;0;0
"UBE2O";6578;12437;5271;5608;2648;3484;5424;3992;3822;1491;4821;6080;6573;3623;7824;3779;2919;3217;1915;2906
"UBE2Q1";28487;9782;10728;30450;5233;6435;7997;6634;5424;3330;4004;7731;5153;5852;26815;7061;5827;5806;3432;6134
"UBE2Q1-AS1";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"UBE2Q2";4503;3370;3944;2331;2921;8440;3875;6055;2417;3141;8356;6409;10686;4908;8959;4442;5874;4413;2164;3872
"UBE2Q2L";6;48;8;29;36;11;1;8;8;4;18;7;11;23;17;23;11;9;10;24
"UBE2Q2P1";188;426;207;253;477;355;38;273;193;205;388;492;648;599;451;309;222;185;371;473
"UBE2Q2P2";73;72;242;219;28;75;87;120;65;65;101;52;124;69;93;28;27;19;32;50
"UBE2QL1";443;159;114;80;721;680;71;188;81;65;20;162;13;397;318;720;1866;699;156;310
"UBE2R2";10536;12036;9848;10687;4908;6965;4763;7579;2284;1985;6536;6892;8067;5938;11411;6638;5550;6777;2981;5541
"UBE2S";16945;3428;4569;6414;687;2217;15189;1332;4247;620;2835;2185;3528;768;4641;1016;868;786;682;787
"UBE2T";4267;2716;3153;4279;500;1716;7923;1472;2806;289;3083;1258;4201;475;2735;246;375;255;201;214
"UBE2U";2;3;15;38;0;0;0;0;0;5;0;0;0;0;1;0;0;0;2;1
"UBE2V1";21;20;29;13;19;22;21;37;18;31;37;29;54;52;35;7;19;11;28;22
"UBE2V2";4060;4998;8585;4802;2285;5732;3058;4180;1345;2000;3445;2725;3672;2594;6339;3207;3393;3098;1514;2083
"UBE2W";2510;2801;4996;4910;2489;7188;2563;5407;1256;1495;8532;4103;9441;2804;4659;3988;4894;3135;1228;2650
"UBE2Z";25923;8432;10239;11490;5629;12503;10109;12810;5575;3530;7801;10925;9965;9685;28204;10126;9194;10324;4530;8967
"UBE3A";7291;9707;8849;8041;5271;12451;3092;7430;2114;3908;10172;11839;10078;7061;10639;6870;7158;5671;3324;6093
"UBE3B";4334;3091;3474;3524;4100;6233;3761;3808;1569;2849;3939;7772;5002;4858;6051;4992;4095;3430;2480;4170
"UBE3C";13579;14044;11505;19421;5295;8767;3662;5156;4439;5494;8434;7347;8364;6535;20183;7446;5177;5045;4836;6243
"UBE3D";390;517;839;268;202;206;475;164;288;142;212;185;217;329;334;281;250;271;144;255
"UBE4A";3105;8791;12797;10522;4712;4978;5628;6127;2194;2440;5336;5769;5554;7336;3844;6998;4987;5311;2875;5912
"UBE4B";3650;5558;8872;8816;4628;6850;1913;5093;2350;2624;4467;5832;4500;5663;5423;4970;4991;3721;2746;4180
"UBFD1";5429;9636;11571;9579;4191;12192;7357;11203;2474;2165;11571;7760;11994;5909;4906;5020;6224;5536;2308;4324
"UBIAD1";1635;1497;5852;1774;1825;2676;1411;1998;979;792;1772;1703;2140;1737;2110;2086;1586;1534;962;1376
"UBL3";1560;3817;2956;3540;4065;4991;3140;11206;821;2064;4343;5076;2652;5321;3718;5683;5826;5335;2130;4718
"UBL4A";5423;5386;2824;5858;3122;3578;4884;3438;11788;1413;1961;3525;2417;3099;3979;3141;2486;3237;1564;2186
"UBL4B";26;17;3;13;77;10;24;13;11;1;18;24;30;39;39;83;35;48;4;45
"UBL5";8323;7963;9832;7487;5916;6139;13067;6398;8989;15736;5553;5879;7764;4713;5147;5527;5785;7363;9202;4752
"UBL7";3184;2377;6005;1776;1587;2845;3037;2275;1889;2320;2819;2672;3566;2334;3070;2474;2115;2467;2020;2169
"UBL7-AS1";122;143;280;175;209;329;291;251;161;240;546;369;479;313;282;249;251;180;175;264
"UBLCP1";1889;3217;4217;2937;1965;2901;2258;2366;1028;2461;2519;4118;2206;3321;2424;3518;3133;3112;1732;2466
"UBN1";5402;8469;7361;10846;3523;9836;5938;9608;3753;2916;7739;7118;7481;5557;5645;5243;5390;5541;3193;5272
"UBN2";2409;6470;6828;5601;3700;8213;2779;3034;1560;3315;7032;7786;8093;5633;4529;3840;5308;2418;2278;3643
"UBOX5";369;1029;1331;1158;943;688;667;1362;458;524;738;1070;1125;1029;415;1514;1030;1228;623;1057
"UBOX5-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UBP1";6666;13054;12092;10473;6276;16505;5823;11457;4559;3930;10482;12500;7736;10452;8497;8929;11490;7194;3974;6558
"UBQLN1";5769;12051;12282;13883;7174;10865;11014;13679;4459;3181;15363;11380;15199;8674;9447;11477;8060;8773;4254;7607
"UBQLN2";7862;8523;11100;4916;2797;4688;1907;4922;1658;1326;2201;5047;3628;4219;9001;4532;3863;3620;1544;3146
"UBQLN3";0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0
"UBQLN4";18935;10976;7043;13922;4791;5223;4664;5252;5646;2471;5076;9299;5351;3869;23583;4565;3474;4005;2219;3408
