"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"AQP4-AS1";5;6;5;4;23;40;24;82;11;6;3;57;4;76;31;23;19;12;2;19
"AQP5";887;2004;20;296;117;5;34;14;72;116;38;18;74;495;132;199;29;147;30;240
"AQP6";69;182;5;4;9;12;7;6;8;28;13;21;8;73;26;20;7;7;12;28
"AQP7";119;532;14;50;1511;75;23;416;6;49;83;128;80;358;7;7311;965;5205;2680;1914
"AQP7P1";78;312;13;48;1091;82;42;361;15;83;68;102;61;235;22;4953;856;3856;2223;1133
"AQP7P3";58;61;18;71;155;20;36;52;9;22;7;12;3;38;30;460;71;322;222;61
"AQP8";4;7;6;1;12;9;4;7;6;7;15;4;13;11;6;8;24;17;8;6
"AQP9";1429;167;6626;1529;6;136;1244;347;349;28;236;10;50;53;68;345;193;607;319;104
"AQPEP";36;178;15;31;392;27;191;166;16;31;27;55;35;161;24;1720;300;1222;237;514
"AQR";2476;4785;10221;5010;2209;4837;1527;2836;1253;3657;2819;4848;2989;3308;2847;2984;2827;2257;2753;3229
"AR";193;612;2169;122;11433;17249;15254;24684;91;173;839;6028;342;5216;2142;4542;6525;5427;679;4069
"ARAF";11652;11386;6348;4266;3670;4292;6455;3972;3713;3195;2676;4800;5334;4771;10546;6390;4621;5170;3750;4468
"ARAP1";11005;9632;8030;8237;8828;9140;7919;11651;6696;4384;11385;11606;9788;11646;9095;13493;12155;14507;8953;13709
"ARAP2";1027;1674;2727;2211;917;431;472;1486;357;700;499;1216;460;1572;1704;2020;899;1411;842;1095
"ARAP3";1261;1809;589;843;1989;876;1083;827;490;913;1116;1376;1741;3544;914;3497;2552;3455;2629;5449
"ARC";61;46;507;7;191;1166;121;24;10;10;872;6;1283;43;37;618;275;52;44;248
"ARCN1";11744;13675;18799;26563;7296;9790;12985;13377;5464;5384;12903;10517;13135;11656;11746;12583;9067;11071;6353;11784
"AREG";23;135;69;8;189;177;1823;9376;43;79;1382;1025;17894;1143;25;433;451;4685;162;1242
"AREL1";2966;3580;6241;4589;2689;3880;2116;4826;1644;3241;2391;3007;2723;4189;3010;3781;2930;3020;2866;2524
"ARF1";57059;63619;31409;65543;21296;25960;46289;37404;29085;15574;45935;28348;51515;23257;43580;28410;22050;33707;16711;22839
"ARF3";10883;22459;17864;12845;13435;19504;9690;22752;5293;7432;17764;31533;18229;16007;12243;15983;13087;15294;7044;13273
"ARF4";19304;15703;26662;20072;9667;20132;19498;24778;9245;10803;14273;14624;15961;15543;34375;15084;17650;19829;8948;14215
"ARF5";19644;15223;10678;11737;7088;6506;10436;5207;9407;3964;6977;6202;10183;7319;17660;7866;6736;7844;4926;6857
"ARF6";7924;8913;9405;19028;7222;15197;9613;21736;4977;5362;28923;16048;32683;10751;9618;13258;9966;12109;5408;8198
"ARFGAP1";13454;12591;9798;16948;4995;13586;18540;9047;8030;5125;12006;14791;17353;10663;11231;7869;14510;10628;6210;7380
"ARFGAP2";7321;7232;8136;11753;6268;8854;7787;7516;3992;3896;10025;7826;9859;7037;4875;8151;7188;7413;4490;5630
"ARFGAP3";3906;3637;3883;6222;3999;2105;2637;3667;3245;3001;3955;2459;3168;4354;5638;6732;3607;4145;2755;4033
"ARFGEF1";4341;5739;13132;9784;4978;17788;3495;11683;1751;3192;16781;7354;20977;6094;10574;4526;8613;4408;2327;4394
"ARFGEF2";4220;8968;7345;8693;7091;14705;3496;10046;1768;4184;13155;9607;14418;7498;11920;5177;6595;3860;3141;5089
"ARFIP1";1791;2673;4004;2591;3142;5448;2779;5825;1328;1036;3642;5682;5614;4148;3070;3807;4067;3572;1369;3764
"ARFIP2";8219;4119;7214;5818;9915;5511;15110;7593;2552;2527;7335;7040;8250;5215;7446;6077;4619;5025;2792;4250
"ARFRP1";4389;5288;3334;4936;2137;4897;6049;2832;1558;1224;3910;4072;4195;3166;3494;3703;5020;4451;2077;2719
"ARG1";0;1;1;1;0;0;11;0;0;1;2;1;0;7;0;0;0;0;0;1
"ARG2";233;678;1621;114;155;133;805;121;843;1074;129;113;159;291;352;255;146;196;426;196
"ARGFX";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARGFXP2";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0
"ARGLU1";6240;13098;9868;12013;9536;8314;10651;8286;3530;6416;13021;15215;12769;16381;6476;14538;11857;10051;8018;14136
"ARHGAP1";8234;6642;10987;10864;8672;16037;8640;10975;3908;3151;6500;13857;8323;16354;9066;11964;14276;12870;5792;10893
"ARHGAP10";1622;495;714;886;1254;1094;460;734;516;133;1750;806;2044;1521;1492;2443;1554;2289;990;1995
"ARHGAP11A";3527;5231;6206;7250;406;2288;2759;1266;1431;746;3973;2643;2860;1058;4455;392;445;272;400;463
"ARHGAP11B";134;251;343;394;27;143;83;80;59;54;207;216;174;88;220;26;27;17;40;35
"ARHGAP12";1478;2761;4820;3530;4776;5710;1368;5937;1106;1838;3324;7655;2753;6542;4528;5212;5428;4337;1458;5179
"ARHGAP15";652;388;1062;985;631;237;428;428;351;348;395;576;352;883;424;1360;864;1178;828;1582
"ARHGAP17";3233;5465;6956;6510;2925;4709;3120;3907;2574;2030;3749;3043;4266;4789;2617;6160;5217;5270;2887;6445
"ARHGAP18";1584;1202;4786;2679;2110;1355;1711;2945;921;2202;1639;2116;1713;3241;1860;3533;3402;4439;2671;3797
"ARHGAP19";1030;2934;1044;2478;2027;1761;1244;1823;1047;532;3898;1463;2740;2602;1093;2536;1926;1562;756;2320
"ARHGAP19-SLIT1";0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"ARHGAP20";89;268;78;42;373;258;44;361;16;57;59;353;115;867;232;1120;544;560;275;2703
"ARHGAP21";11463;6313;10901;13115;7728;7254;1849;8953;4561;3566;5943;9697;5191;9372;22370;9849;7396;7274;4420;13310
"ARHGAP22";1749;691;972;946;289;201;535;465;585;189;233;456;226;600;1037;673;586;938;614;730
"ARHGAP23";927;1825;1872;2206;1767;1243;722;1821;1360;1197;924;1711;997;3767;910;5526;2438;4627;2285;5972
"ARHGAP24";409;391;322;314;955;661;529;666;216;235;489;953;560;1363;573;1832;1654;1528;916;2356
"ARHGAP25";1470;1145;2176;1962;1019;408;1106;1109;984;748;991;1143;966;1943;623;3506;1963;2850;1626;2484
"ARHGAP26";1862;2114;3955;4672;2098;606;1146;1007;569;1489;1211;1137;1268;2789;1775;3513;1355;2331;2118;3313
"ARHGAP26-AS1";18;8;19;10;0;0;0;0;0;1;0;0;0;2;1;6;0;1;1;0
"ARHGAP27";5677;2520;4416;4925;2229;1276;3076;3526;2488;2633;2535;2927;2877;3480;5475;4764;2711;4511;3490;4045
"ARHGAP28";279;375;924;150;262;900;125;1052;9;228;236;1617;240;2091;1000;688;1760;1298;418;2854
"ARHGAP29";7354;2100;3804;2655;8287;5338;5478;9149;1116;923;7635;7381;6234;8276;7399;10261;5557;5480;2173;11686
"ARHGAP30";6123;4536;5446;7925;2494;1107;2904;3461;2845;5960;2140;3632;1935;3846;5273;7963;3433;6383;7510;4241
"ARHGAP31";1943;2362;2444;2664;2220;1679;1088;2061;449;674;1506;2464;1527;3452;2375;5299;2644;4224;2660;7144
"ARHGAP31-AS1";0;0;14;3;2;1;1;3;0;3;1;3;1;2;8;5;3;2;0;3
"ARHGAP32";2022;4394;2973;5837;4222;13359;1182;5966;1094;1091;18533;6618;21698;5890;3262;3575;6964;2753;1228;3680
"ARHGAP33";6617;2325;298;2671;1957;3826;5834;1651;1699;786;3196;2403;3616;1906;5751;2253;2828;1481;945;1485
"ARHGAP35";8716;9701;5286;3952;8570;18366;9907;19673;3752;3962;10719;11687;11184;10616;6389;10079;9241;8409;3986;8872
"ARHGAP36";15;9;0;0;3;42;2;0;1;1;7;3;18;11;12;165;1;0;0;0
"ARHGAP39";1539;1864;1100;1752;1105;5199;6005;2601;1609;439;6701;3303;6951;1212;1022;1130;2481;1728;465;793
"ARHGAP4";4092;3225;4128;4521;2681;1829;7295;5090;1991;2001;1849;3119;2200;4900;2019;8430;4816;8675;6521;5909
"ARHGAP40";82;537;122;88;3993;73;9;8;57;34;3257;33;4337;1056;36;1913;638;6;20;305
"ARHGAP42";243;379;953;1160;378;624;90;342;142;132;247;511;320;758;320;517;593;404;216;1077
"ARHGAP44";1084;843;191;395;819;252;460;693;76;321;214;422;447;729;1071;1007;413;406;275;744
"ARHGAP5";2375;3966;6283;6916;4446;6465;2980;10647;1936;3316;6637;6179;5699;6270;5009;5715;4676;3832;2013;4703
"ARHGAP5-AS1";112;139;102;69;202;310;142;182;126;209;167;116;148;297;119;299;312;147;141;212
"ARHGAP6";111;169;129;121;1045;265;87;138;40;139;196;456;359;771;153;947;551;510;467;1203
"ARHGAP8";0;0;8;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"ARHGAP9";1794;962;2167;2680;997;408;1543;1379;1312;840;489;1133;414;1355;802;3112;1420;2612;1962;1354
"ARHGDIA";31581;35264;12357;21900;10429;15407;19400;14034;19145;5915;17965;22543;26677;13687;25729;20812;14211;24043;10836;15483
"ARHGDIB";26753;6438;10306;9497;8180;7883;7596;27954;5305;5591;7993;10057;9349;12067;8578;16228;12191;21323;11637;12731
"ARHGDIG";14;24;22;0;14;17;37;217;16;11;147;22;153;9;27;50;19;123;30;22
"ARHGEF1";10873;13020;6584;8140;7460;7232;9312;6258;5698;5177;5972;11702;7516;10182;10282;14832;9951;11524;10508;9235
"ARHGEF10";5754;4560;2082;4732;2735;2827;1527;2117;1944;842;1753;2567;2199;4087;8878;4189;2871;3079;1614;4869
"ARHGEF10L";7629;4484;5773;9024;3132;2426;1831;3894;1636;9589;2779;3907;3403;5261;11237;5935;3505;4019;9574;4615
"ARHGEF11";18871;8951;8558;12778;4637;5835;3630;8307;2452;3478;4783;8033;5495;6215;24646;6241;5249;6337;4144;5929
"ARHGEF12";5600;11499;19700;9292;9886;13119;6116;15912;2880;3627;12082;12284;13116;14343;10246;11228;8698;8485;4612;14607
"ARHGEF15";902;1018;436;476;1537;819;952;645;262;296;959;1329;978;2730;407;5671;2514;4990;1994;6409
"ARHGEF16";2287;2220;725;1612;1168;3952;1748;1334;562;773;2605;3664;3522;1352;3016;920;1911;802;642;749
"ARHGEF17";5959;7419;2810;2676;7398;10584;7769;7227;5000;4692;8108;8119;11500;9421;7762;9448;9400;7108;6576;10192
"ARHGEF18";2704;2925;2469;3575;2345;3026;4386;3579;2773;4458;2370;3159;2799;3109;2894;4098;2787;3526;3891;2445
"ARHGEF19";1828;5755;4142;3116;1582;3296;2504;2457;1782;1734;3051;2952;3340;2352;3479;1662;2710;2113;1286;1250
"ARHGEF2";22586;8817;5465;14151;4097;5639;4695;5891;4392;9700;4638;14553;4597;6975;31331;8418;5473;7399;8096;8481
"ARHGEF25";1589;2312;1365;3682;3194;2134;1168;2575;756;1128;2606;2808;4272;4482;1236;5052;4083;3867;1910;5947
"ARHGEF26";501;738;83;2252;2209;9022;1054;6427;1430;85;7728;619;8243;1037;684;1737;2967;1878;459;883
"ARHGEF26-AS1";145;346;130;520;193;277;122;794;253;46;264;87;261;101;256;139;259;222;37;88
"ARHGEF28";1200;1087;1204;498;1692;748;430;2511;191;2360;594;1414;982;2064;2057;2177;945;1362;1284;2192
"ARHGEF3";1951;1917;3686;3403;5300;4521;1494;4412;868;1477;1569;2539;1316;4003;2223;4805;3409;3704;1684;5055
"ARHGEF3-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARHGEF33";27;76;58;51;53;60;26;186;9;34;39;56;76;118;64;70;74;98;34;118
"ARHGEF34P";797;879;522;620;285;352;203;139;271;358;396;666;488;680;1157;323;193;104;240;413
"ARHGEF35";1331;1952;439;821;314;465;401;326;436;516;248;275;165;250;1593;416;297;188;239;158
"ARHGEF37";2325;1413;1062;1084;7118;13917;4224;3735;1571;8869;3207;5434;3090;5412;3181;3482;8252;2386;5045;3459
"ARHGEF38";135;139;11;422;1031;1457;72;3992;59;68;688;520;389;1567;74;1057;843;2053;13;382
"ARHGEF38-IT1";0;1;0;0;4;1;0;3;0;0;0;1;1;0;2;7;9;13;0;0
"ARHGEF39";2471;453;2127;1394;309;1330;3251;504;274;120;1923;565;1542;271;1505;139;311;65;103;91
"ARHGEF4";2524;3986;638;1368;558;257;348;261;999;2426;56;414;88;1134;2057;1451;710;1460;1951;1497
"ARHGEF40";3474;3366;1809;4078;4286;4232;3229;5660;482;1480;2410;5662;3226;7459;4305;10013;6659;7683;3218;9311
"ARHGEF5";3219;3134;1592;2216;1072;1400;1150;653;886;981;1337;2197;1467;2327;3737;1474;1052;524;614;1343
"ARHGEF6";2553;4468;3085;4802;5938;6095;1130;4128;1126;1520;7415;9542;15722;8182;3011;7537;6519;5361;5593;7237
"ARHGEF7";5581;10324;6728;10924;6325;5044;5624;6307;2703;3334;13326;4787;14320;7906;5048;9335;6419;6730;4970;8061
"ARHGEF7-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARHGEF9";3224;3773;4622;5351;2035;3186;1389;2589;2986;2961;1026;2793;1184;3556;6158;2612;2337;2056;2368;3162
"ARHGEF9-IT1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARID1A";6113;7826;5399;11863;8048;17639;8410;11505;4410;5644;12360;15423;14050;9970;11836;9966;8900;6632;6468;8357
"ARID1B";6078;6629;8701;8067;4902;4950;2311;7592;3714;3611;5107;5093;7555;7307;9681;6948;4953;5275;3856;6564
"ARID2";2151;4206;3904;2888;2580;5071;1511;5307;1133;1680;2429;5769;2489;3162;3429;2778;3016;2018;1182;2281
"ARID3A";328;435;345;761;297;514;452;758;180;147;1141;634;983;299;290;473;326;424;214;433
"ARID3B";714;847;875;1241;603;827;781;623;923;926;1303;1500;1277;884;812;1061;864;597;846;898
"ARID3C";6;39;34;4;4;0;2;4;7;6;1;8;2;19;9;11;3;8;7;6
"ARID4A";881;1564;2596;2003;2479;2905;1564;2860;790;1781;1659;3013;1624;2819;1844;2395;2707;2058;1547;3270
"ARID4B";3035;10849;5076;7538;4853;5374;3536;7481;2329;2594;6374;8501;7075;5546;7867;4777;4619;3710;2225;5458
"ARID5A";4175;2763;3064;2519;4178;1617;4331;2989;2315;1673;892;2382;1307;7354;4941;7818;3688;2647;2302;4990
"ARID5B";2513;3902;8727;1914;7226;3894;1443;5613;1129;3044;2771;2873;3181;7443;4497;13711;7454;9496;4939;11193
"ARIH1";6358;7416;10188;7247;4623;8475;4210;5743;2524;5729;10929;10277;11872;6917;9502;7448;5973;5341;4520;6069
"ARIH2";7721;2908;7882;8627;6612;9209;12835;7178;6051;3899;4491;6588;5890;7892;5961;9940;8130;7891;4767;6857
"ARIH2OS";104;50;61;44;163;222;139;153;100;85;58;85;74;118;61;170;278;182;106;73
"ARL1";7338;5377;5786;5726;6625;8879;7648;7580;3756;5877;27138;9783;30167;7666;12222;7732;7770;7176;3746;7879
"ARL10";107;217;109;117;272;95;63;222;124;114;110;152;100;318;130;188;125;119;172;269
"ARL11";430;165;563;216;115;213;194;272;175;163;372;527;445;200;159;319;316;522;237;303
"ARL13A";13;3;0;108;0;0;0;0;2;1;0;0;0;0;9;0;0;0;0;0
"ARL13B";433;1581;1263;574;802;1185;617;1100;161;479;1068;1185;1008;1217;1658;1476;1078;950;535;1131
"ARL14";48;13;36;28;0;0;2;3;3;5;3;1;0;2;7;5;0;1;2;1
"ARL14EP";1343;2139;2310;2754;1724;2221;1176;2613;1015;852;1844;2218;1729;2054;1375;2257;1894;1671;854;1725
"ARL14EPL";1;1;4;4;0;0;1;2;0;0;0;0;0;1;0;0;1;2;0;3
"ARL15";270;1091;705;572;995;735;580;1546;172;840;752;3735;945;2453;599;1911;1474;1520;1244;3571
"ARL16";3989;6854;1238;1102;2071;2553;3938;1633;3436;1073;2724;4720;4497;2859;4208;2132;2398;2180;1416;2245
"ARL17A";304;873;682;916;918;1821;791;1650;448;259;977;864;977;946;572;1095;1056;757;322;745
"ARL17B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARL2";1780;1206;645;1107;967;920;1187;892;703;317;1097;702;1119;1155;1264;1471;1339;2063;935;1421
"ARL2-SNX15";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARL2BP";4047;4544;4363;4537;3164;6490;2947;4546;1288;1940;4777;6292;5288;5345;4959;5881;4769;5751;2663;6242
"ARL3";2596;2756;1074;1295;2861;4885;2709;2702;1206;961;4435;1972;4198;2306;2571;2468;3653;2329;977;2296
"ARL4A";845;1294;1269;1059;2146;1112;1696;779;442;2339;571;10067;703;6256;991;4366;1943;3073;1552;3207
"ARL4C";4354;3038;2733;3445;2395;2501;3049;3745;1720;2559;2438;2767;2129;8720;4455;9647;7535;4456;2874;6440
"ARL4D";142;111;287;147;363;1027;885;369;302;94;150;406;204;458;181;887;619;800;259;660
"ARL5A";1967;3938;8725;6465;2004;2969;1206;3308;2083;1012;3878;2820;3520;2428;3512;2867;3093;2495;1141;2289
"ARL5B";401;1052;3360;2341;423;911;191;1372;666;485;1305;645;787;497;1937;354;525;419;261;1025
"ARL5C";2;8;0;1;1;9;0;0;0;0;12;1;6;3;0;3;6;3;1;8
"ARL6";109;441;926;209;198;309;220;303;56;156;235;295;272;251;341;204;230;149;105;276
"ARL6IP1";21877;42767;39845;36090;14563;46540;39887;32845;17273;4128;76275;20242;67793;12832;19496;16533;18771;13456;4955;8301
"ARL6IP4";11651;5902;8720;7023;7718;7656;14644;5085;5117;4318;3278;8564;4958;7152;8662;10718;8979;10021;5454;7663
"ARL6IP5";7095;20148;10572;25832;11410;14427;7728;18954;4511;6424;7557;11078;7703;16722;9697;18584;14839;17921;7209;14234
"ARL6IP6";2279;1408;3001;3247;1120;2129;914;1206;1472;529;2332;2209;1819;1322;3339;1404;1798;834;523;1140
"ARL8A";5333;4110;3056;5520;2050;2987;2541;4772;3511;1447;3559;3194;6257;2258;3858;3804;3013;4235;1977;2612
"ARL8B";4395;8985;10826;13687;6145;11945;4447;13299;3341;3072;11380;10037;10554;8025;9462;9477;8734;9552;3071;5589
"ARL9";178;719;675;412;34;81;20;36;155;33;24;60;103;61;110;77;59;50;22;49
"ARMC1";3468;4576;6142;5262;2092;6292;2533;4286;1508;1426;8211;3108;9717;2644;5942;3349;3606;2638;1060;2281
"ARMC10";6004;10236;11262;5350;3618;5425;3772;2946;2494;1889;3814;4936;3808;4232;6279;4001;3913;3635;1571;3335
"ARMC12";61;154;112;106;53;205;289;153;25;12;12;87;6;57;66;51;142;61;57;32
"ARMC2";133;279;279;211;266;185;160;401;118;74;258;229;260;300;332;317;269;380;176;440
"ARMC2-AS1";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"ARMC3";12;79;61;23;39;36;23;233;2;0;111;96;78;25;34;11;17;115;1;36
"ARMC4";21;67;123;24;34;41;5;78;4;4;9;85;4;42;17;31;114;28;4;59
"ARMC5";1889;1683;1907;1333;791;3077;1787;1105;569;1146;1658;1311;2415;1180;1480;1808;2699;1578;1360;1533
"ARMC6";3343;2991;2450;3405;1231;2379;4431;2225;2348;1565;3132;2006;3917;1693;2408;1990;1547;2528;1561;1463
"ARMC7";733;1394;917;838;733;933;1863;848;682;419;1161;2304;2042;1053;629;773;790;926;438;720
"ARMC8";2807;2242;7038;5795;2582;3871;3320;5534;4081;2080;3318;3469;3694;3185;5202;3938;3265;3555;2171;2886
"ARMC9";588;1722;959;621;960;2795;1432;2261;305;445;3310;1630;3154;1758;860;1032;2233;1920;512;827
"ARMCX1";2297;1600;1243;743;2500;3170;591;1514;450;846;641;4196;939;3354;4120;3005;3824;2736;1170;2823
"ARMCX2";6560;6343;2477;2320;5045;3193;2584;4657;409;2224;785;6901;1155;5766;10207;4361;4446;4102;2122;4289
"ARMCX3";4064;6179;3592;7175;5269;7371;5046;10636;1785;3833;4420;12329;4933;8967;6436;6965;7324;7426;3390;7177
"ARMCX4";1573;1125;568;845;1928;1010;1326;1210;388;650;454;4872;647;3707;3068;2903;2221;2221;1086;3494
"ARMCX5";586;1044;961;660;1118;1817;618;1432;439;827;480;1641;614;1551;921;1352;1434;1140;656;1197
"ARMCX5-GPRASP2";32;73;40;37;59;61;29;72;27;24;42;63;45;45;25;40;38;39;21;70
"ARMCX6";1393;1260;811;979;1113;1303;1027;1545;644;1209;600;1744;1008;1529;1755;1238;1292;1277;920;1168
"ARMS2";0;1;0;3;1;0;0;0;0;0;0;0;0;1;2;1;0;6;1;0
"ARNT";10788;4490;4076;5754;6466;6305;3229;6002;2460;2352;2989;6123;3492;6587;16915;7557;6573;5294;3158;7135
"ARNT2";2805;4471;1123;3812;1934;3246;6591;8134;853;136;4549;12595;2940;2351;4080;1693;2636;2312;229;1711
"ARNTL";939;821;869;553;470;1535;1342;1050;476;1882;1119;2026;1116;2500;1578;2059;1744;2156;1479;1626
"ARNTL2";4232;2242;4313;5997;369;245;954;721;594;446;250;477;220;787;5710;1496;607;922;605;878
"ARNTL2-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARPC1A";13190;10121;14490;13428;6608;7314;11045;5996;4948;4213;5786;6482;6254;6235;11384;7744;5431;6712;4047;6079
"ARPC1B";20855;9558;22751;22917;4641;6413;12132;8842;5642;7773;7415;8658;8051;8434;14159;11391;8364;18374;13017;10461
"ARPC2";24833;18513;37601;23696;11038;17852;26117;21470;11483;7475;18271;18094;21074;16312;16470;20528;17561;23097;12619;16378
"ARPC3";24260;9635;14630;14003;10727;14011;21905;10597;8339;8136;14074;16626;15126;11395;18858;13998;12519;14257;9541;11488
"ARPC4";9128;11383;13159;11157;5262;6880;11172;6349;6219;3105;7234;5657;7174;6522;10350;8146;7592;10292;4696;5949
"ARPC4-TTLL3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ARPC5";16557;17130;21644;21819;9968;11455;20311;17073;9402;6277;11681;13037;13803;12988;17928;15734;12475;20638;7571;12149
"ARPC5L";7492;4034;6725;4883;2043;3270;6927;3001;2518;1108;2381;2058;2768;2033;3451;2986;2414;2871;1555;2027
"ARPIN";397;367;592;1015;811;565;235;2265;218;288;266;505;216;848;568;1054;607;1127;548;1071
"ARPP19";8002;13134;16781;14260;7950;19151;7305;13546;5017;10175;19475;25627;19985;12922;10532;12433;10578;9731;6870;11041
"ARPP21";4;18;1;0;1;4;141;2;0;0;2;5;1;7;2;0;10;9;0;5
"ARR3";0;1;0;1;3;0;5;1;0;0;1;2;1;0;0;2;2;1;0;1
"ARRB1";4012;4323;2533;6177;7282;9031;2135;9902;1192;2067;19321;8540;14211;6782;2024;9628;5943;6596;2773;9068
"ARRB2";3961;2801;3182;4495;3168;2015;4203;2938;2870;1685;2596;2128;2530;3306;2702;6433;5012;7882;4684;3959
"ARRDC1";5393;2023;2123;2208;2915;9797;5256;3360;1500;867;13271;5129;18388;2761;3629;2939;5306;3167;1479;2196
"ARRDC1-AS1";634;333;1027;691;714;1256;1265;618;344;512;672;618;748;870;406;1008;1302;1065;599;674
"ARRDC2";4112;2049;1932;2772;3246;3337;3420;3256;846;14033;1763;3796;2453;3266;3187;4503;4959;9182;17223;3065
"ARRDC3";2514;5654;11058;4730;7213;5802;2202;4112;2485;12302;2431;3793;2369;9224;8450;14337;13374;6157;8243;13896
"ARRDC3-AS1";38;42;116;63;38;117;87;174;28;74;70;95;111;79;51;65;75;71;64;82
"ARRDC4";1870;4042;2096;3368;2287;1037;4912;3142;990;2424;1820;4407;1966;4594;4861;5741;3721;4832;2777;10355
"ARRDC5";17;13;41;27;14;7;16;24;36;28;14;29;17;41;24;86;51;43;61;52
"ARSA";2979;3892;2956;2944;4343;4130;3902;8672;1771;1918;3662;2310;4136;4081;2996;6138;5394;7146;3508;3600
"ARSB";1231;1347;2742;2698;605;1607;1167;2038;459;560;836;1566;991;1513;1184;1323;1474;2087;1234;1358
"ARSD";8680;6531;5575;1413;4491;5565;1947;11659;2421;1583;7101;5858;12370;6586;8717;5178;4141;5745;1839;3622
"ARSE";167;281;87;8;119;260;15;207;41;125;11;154;26;153;271;141;470;211;53;115
"ARSF";0;5;0;0;0;0;0;0;4;101;0;0;3;4;0;11;7;11;34;0
"ARSG";108;255;146;139;1527;2801;1196;3329;91;148;3470;3810;3060;1718;154;765;1414;1408;251;1316
"ARSH";14;381;29;80;15;17;9;36;38;12;26;34;50;26;8;24;7;7;6;9
"ARSI";640;382;399;291;65;380;408;539;86;143;59;469;56;500;400;317;684;577;271;170
"ARSJ";233;137;77;75;231;201;212;616;47;111;116;362;121;795;298;846;433;441;153;618
"ARSK";226;373;1003;314;495;621;643;803;247;515;185;493;269;646;496;599;762;534;332;504
"ART1";1;0;0;0;0;0;0;2;0;4;0;1;1;5;1;0;2;2;1;1
"ART3";4228;73;92;1979;27;5;4;16;460;57;5;24;6;40;3936;21;14;9;42;58
"ART4";790;10;6;6;44;1;1;0;1;5;12;3;5;50;43;47;10;29;46;35
"ART5";3;22;37;43;51;44;17;40;14;9;5;29;22;264;4;125;165;197;7;211
"ARTN";910;251;250;169;131;517;230;193;39;23;132;465;146;92;719;112;558;149;41;57
"ARV1";1851;5082;2889;2065;2263;1940;4078;2740;1056;1493;1597;2153;1631;1585;1767;1574;1628;1784;1015;1480
"ARVCF";1613;3786;2365;1616;2630;3245;2981;1942;1332;774;3359;1450;5195;2483;3043;3049;2405;1622;1029;2129
"ARX";9;7;7;6;8;10;49;266;5;6;158;0;264;3;5;57;10;88;1;17
"AS3MT";1;0;0;0;1;1;4;2;1;1;0;2;0;3;1;3;2;1;1;5
"ASAH1";10386;12177;31495;15251;13545;11300;24552;31496;7276;5485;12140;9523;13644;15590;9482;28044;24967;29950;10930;15123
"ASAH2";8;51;120;30;48;82;30;137;15;33;158;68;188;50;48;23;28;29;24;19
"ASAH2B";9;63;108;28;31;48;34;106;13;37;140;64;175;47;51;18;12;26;32;41
"ASAP1";8622;8431;7477;9104;3109;5300;4738;9999;2145;1062;6432;5247;6780;6602;8686;5640;4815;7262;3345;7826
"ASAP1-IT1";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"ASAP1-IT2";16;7;7;12;3;7;54;16;30;9;6;4;4;5;11;5;16;37;14;10
"ASAP2";1942;8193;3710;5625;2409;3080;1600;3748;1087;582;5971;4295;5176;3643;3861;3763;2642;2270;1222;4746
"ASAP3";3244;3637;847;5133;3041;4835;1343;4075;3664;11833;2913;6489;4321;6080;6633;6489;5971;5757;10361;6537
"ASB1";2728;2682;1717;1325;2926;3539;3760;4267;1207;1132;3375;2784;3487;3676;2502;4818;3609;3057;1358;3617
"ASB10";4;2;1;0;0;0;0;0;0;0;0;0;1;2;10;1;0;0;1;1
"ASB11";0;1;3;2;1;0;1;0;0;0;0;0;0;1;3;1;0;7;2;8
"ASB12";0;2;83;17;9;6;0;6;5;18;1;5;2;26;5;25;25;14;14;24
"ASB13";2266;3614;4175;2400;10555;10551;2722;8802;2001;962;5371;4935;5397;3332;5658;3709;5405;3858;1347;2433
"ASB14";9;23;12;11;9;8;3;17;13;5;7;9;5;8;45;8;9;6;3;5
"ASB15";0;0;0;0;2;1;0;4;0;0;1;0;0;0;0;1;0;0;0;0
"ASB16";6;0;2;2;47;185;1;156;2;3;19;134;10;17;2;18;74;49;8;13
